Category,Endpoint,Method,Description,Required Role,Test Command,Expected Response
Authentication,/api/auth/login,POST,User login,Public,"curl -X POST http://localhost:3000/api/auth/login -H ""Content-Type: application/json"" -d '{""email"":""user@test.com"",""password"":""password""}' -c cookies.txt",200 - User data with session
Authentication,/api/auth/register,POST,User registration,Public,"curl -X POST http://localhost:3000/api/auth/register -H ""Content-Type: application/json"" -d '{""username"":""test"",""name"":""Test User"",""email"":""user@test.com"",""password"":""password123""}'",201 - Registration success
Authentication,/api/auth/logout,POST,User logout,Authenticated,curl -X POST http://localhost:3000/api/auth/logout -b cookies.txt,200 - Logout success
Authentication,/api/auth/forgot-password,POST,Request password reset,Public,"curl -X POST http://localhost:3000/api/auth/forgot-password -H ""Content-Type: application/json"" -d '{""email"":""user@test.com""}'",200 - Reset email sent
Authentication,/api/auth/reset-password,POST,Reset password,Public,"curl -X POST http://localhost:3000/api/auth/reset-password -H ""Content-Type: application/json"" -d '{""token"":""reset-token"",""password"":""newpassword""}'",200 - Password updated
Authentication,/api/auth/verify-email,POST,Verify email address,Public,"curl -X POST http://localhost:3000/api/auth/verify-email -H ""Content-Type: application/json"" -d '{""token"":""verification-token""}'",200 - Email verified
Authentication,/api/auth/user,GET,Get current user info,Authenticated,curl http://localhost:3000/api/auth/user -b cookies.txt,200 - User data
Super Admin,/api/superadmin/platforms,GET,List all platforms,super_admin,curl http://localhost:3000/api/superadmin/platforms -b cookies.txt,200 - Array of platforms
Super Admin,/api/superadmin/platforms,POST,Create new platform,super_admin,"curl -X POST http://localhost:3000/api/superadmin/platforms -b cookies.txt -H ""Content-Type: application/json"" -d '{""name"":""Healthcare Platform"",""category"":""healthcare""}'",201 - Platform created
Super Admin,/api/superadmin/organization-types,GET,List organization types,super_admin,curl http://localhost:3000/api/superadmin/organization-types -b cookies.txt,200 - Array of org types
Super Admin,/api/superadmin/organization-types,POST,Create organization type,super_admin,"curl -X POST http://localhost:3000/api/superadmin/organization-types -b cookies.txt -d '{""code"":""hospital"",""name"":""Hospital"",""category"":""healthcare""}'",201 - Org type created
Super Admin,/api/superadmin/stats,GET,System statistics,super_admin,curl http://localhost:3000/api/superadmin/stats -b cookies.txt,200 - System stats
Platform Admin,/api/platform/organizations,GET,List platform organizations,platform_admin,curl http://localhost:3000/api/platform/organizations -b cookies.txt,200 - Array of organizations
Platform Admin,/api/platform/organizations/[id],GET,Get organization details,platform_admin,curl http://localhost:3000/api/platform/organizations/ORG_ID -b cookies.txt,200 - Organization details
Platform Admin,/api/platform/organizations/[id]/approve,POST,Approve organization,platform_admin,curl -X POST http://localhost:3000/api/platform/organizations/ORG_ID/approve -b cookies.txt,200 - Approval success
Platform Admin,/api/platform/organizations/[id]/reject,POST,Reject organization,platform_admin,"curl -X POST http://localhost:3000/api/platform/organizations/ORG_ID/reject -b cookies.txt -d '{""reason"":""Incomplete documentation""}'",200 - Rejection success
Platform Admin,/api/platform-admin/platforms,GET,Get managed platform,platform_admin,curl http://localhost:3000/api/platform-admin/platforms -b cookies.txt,200 - Platform data
Organization,/api/org/create,POST,Create organization,super_admin,"curl -X POST http://localhost:3000/api/org/create -b cookies.txt -H ""Content-Type: application/json"" -d '{""name"":""Test Org"",""platformId"":""PLATFORM_ID"",""type"":""TYPE_ID""}'",201 - Organization created
